Using Device: mps and False
Training and Testing Data Loaded!
Epoch 1
-----------------------
loss: 0.018050  [24200/60000]
loss: 0.855500  [24300/60000]
loss: 0.003426  [24400/60000]
loss: 0.012979  [24500/60000]
loss: 0.032628  [24600/60000]
loss: 0.001647  [24700/60000]
loss: 0.030531  [24800/60000]
loss: 0.062850  [24900/60000]
loss: 1.147878  [25000/60000]
loss: 0.290001  [25100/60000]
loss: 0.346014  [25200/60000]
loss: 0.370778  [25300/60000]
loss: 0.337687  [25400/60000]
loss: 0.003082  [25500/60000]
loss: 0.022557  [25600/60000]
loss: 0.040127  [25700/60000]
loss: 5.925337  [25800/60000]
loss: 1.047295  [25900/60000]
loss: 0.172541  [26000/60000]
loss: 0.105074  [26100/60000]
loss: 0.042881  [26200/60000]
loss: 3.656651  [26300/60000]
loss: 0.114783  [26400/60000]
loss: 0.079684  [26500/60000]
loss: 2.621703  [26600/60000]
loss: 0.212088  [26700/60000]
loss: 0.000838  [26800/60000]
loss: 3.034312  [26900/60000]
loss: 0.621911  [27000/60000]
loss: 1.880656  [27100/60000]
loss: 0.090901  [27200/60000]
loss: 0.041203  [27300/60000]
loss: 0.022452  [27400/60000]
loss: 0.097289  [27500/60000]
loss: 0.005082  [27600/60000]
loss: 0.349505  [27700/60000]
loss: 0.129669  [27800/60000]
loss: 0.092400  [27900/60000]
loss: 0.023846  [28000/60000]
loss: 0.051398  [28100/60000]
loss: 0.656467  [28200/60000]
loss: 0.046706  [28300/60000]
loss: 0.018426  [28400/60000]
loss: 0.028363  [28500/60000]
loss: 0.236202  [28600/60000]
loss: 0.314328  [28700/60000]
loss: 0.062904  [28800/60000]
loss: 0.009192  [28900/60000]
loss: 0.056240  [29000/60000]
loss: 0.410687  [29100/60000]
loss: 0.023737  [29200/60000]
loss: 0.332776  [29300/60000]
loss: 0.865980  [29400/60000]
loss: 0.054272  [29500/60000]
loss: 0.060284  [29600/60000]
loss: 0.230321  [29700/60000]
loss: 0.861417  [29800/60000]
loss: 2.165876  [29900/60000]
loss: 0.006526  [30000/60000]
loss: 0.159069  [30100/60000]
loss: 0.120448  [30200/60000]
loss: 0.008477  [30300/60000]
loss: 0.120707  [30400/60000]
loss: 0.219517  [30500/60000]
loss: 2.089607  [30600/60000]
loss: 0.046906  [30700/60000]
loss: 0.273743  [30800/60000]
loss: 6.290504  [30900/60000]
loss: 1.355817  [31000/60000]
loss: 0.422364  [31100/60000]
loss: 3.063265  [31200/60000]
loss: 0.235853  [31300/60000]
loss: 0.387825  [31400/60000]
loss: 0.804451  [31500/60000]
loss: 4.290230  [31600/60000]
loss: 0.334795  [31700/60000]
loss: 0.404782  [31800/60000]
loss: 0.326035  [31900/60000]
loss: 0.033263  [32000/60000]
loss: 0.274924  [32100/60000]
loss: 0.083745  [32200/60000]
loss: 0.016948  [32300/60000]
loss: 0.251909  [32400/60000]
loss: 0.379953  [32500/60000]
loss: 0.094134  [32600/60000]
loss: 0.009889  [32700/60000]
loss: 0.014211  [32800/60000]
loss: 0.018705  [32900/60000]
loss: 1.197968  [33000/60000]
loss: 0.000619  [33100/60000]
loss: 0.671847  [33200/60000]
loss: 0.145667  [33300/60000]
loss: 0.052973  [33400/60000]
loss: 0.056329  [33500/60000]
loss: 0.015025  [33600/60000]
loss: 0.124689  [33700/60000]
loss: 0.014149  [33800/60000]
loss: 0.388487  [33900/60000]
loss: 0.273848  [34000/60000]
loss: 0.331118  [34100/60000]
loss: 0.024384  [34200/60000]
loss: 0.495000  [34300/60000]
loss: 0.146027  [34400/60000]
loss: 7.033034  [34500/60000]
loss: 0.344214  [34600/60000]
loss: 0.173910  [34700/60000]
loss: 3.729573  [34800/60000]
loss: 0.126629  [34900/60000]
loss: 0.007211  [35000/60000]
loss: 0.481586  [35100/60000]
loss: 0.024748  [35200/60000]
loss: 0.350855  [35300/60000]
loss: 0.000376  [35400/60000]
loss: 0.813598  [35500/60000]
loss: 0.010709  [35600/60000]
loss: 0.000289  [35700/60000]
loss: 0.001096  [35800/60000]
loss: 0.003404  [35900/60000]
loss: 0.877308  [36000/60000]
loss: 0.066287  [36100/60000]
loss: 0.114241  [36200/60000]
loss: 0.109247  [36300/60000]
loss: 0.030033  [36400/60000]
loss: 0.342873  [36500/60000]
loss: 0.177890  [36600/60000]
loss: 0.005458  [36700/60000]
loss: 0.210779  [36800/60000]
loss: 0.414057  [36900/60000]
loss: 0.009596  [37000/60000]
loss: 1.225458  [37100/60000]
loss: 0.002726  [37200/60000]
loss: 0.086359  [37300/60000]
loss: 0.487186  [37400/60000]
loss: 0.008610  [37500/60000]
loss: 0.296663  [37600/60000]
loss: 0.017952  [37700/60000]
loss: 0.035877  [37800/60000]
loss: 0.112030  [37900/60000]
loss: 0.095950  [38000/60000]
loss: 0.004709  [38100/60000]
loss: 0.000062  [38200/60000]
loss: 0.669488  [38300/60000]
loss: 0.007135  [38400/60000]
loss: 0.037882  [38500/60000]
loss: 0.097274  [38600/60000]
loss: 1.184711  [38700/60000]
loss: 0.922784  [38800/60000]
loss: 0.025667  [38900/60000]
loss: 0.817862  [39000/60000]
loss: 0.109698  [39100/60000]
loss: 0.001370  [39200/60000]
loss: 0.019203  [39300/60000]
loss: 0.154329  [39400/60000]
loss: 0.318453  [39500/60000]
loss: 2.495236  [39600/60000]
loss: 0.899402  [39700/60000]
loss: 0.003540  [39800/60000]
loss: 0.013942  [39900/60000]
loss: 0.002233  [40000/60000]
loss: 0.132474  [40100/60000]
loss: 0.063145  [40200/60000]
loss: 0.548491  [40300/60000]
loss: 0.003070  [40400/60000]
loss: 0.029819  [40500/60000]
loss: 0.106277  [40600/60000]
loss: 0.426869  [40700/60000]
loss: 0.198480  [40800/60000]
loss: 0.104508  [40900/60000]
loss: 0.057816  [41000/60000]
loss: 0.098306  [41100/60000]
loss: 0.848612  [41200/60000]
loss: 0.111324  [41300/60000]
loss: 1.102035  [41400/60000]
